starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 28 13:12:48 2019	1553789568	1	4000	4001	2000
Thu Mar 28 13:10:28 2019	1553789428	0	4001	4001	2001
Thu Mar 28 13:12:06 2019	1553789526	1	4000	4001	2000
Thu Mar 28 13:11:22 2019	1553789482	0	4001	4001	2002
Thu Mar 28 13:10:20 2019	1553789420	0	4001	4001	2000
Thu Mar 28 13:10:38 2019	1553789438	0	4001	4001	2000
Thu Mar 28 13:12:32 2019	1553789552	0	4001	4001	2001
Thu Mar 28 13:14:32 2019	1553789672	4	3998	4001	1996
Thu Mar 28 13:14:36 2019	1553789676	0	4001	4001	2000
Thu Mar 28 13:14:52 2019	1553789692	0	4001	4001	2001
Thu Mar 28 13:13:32 2019	1553789612	0	4001	4001	2001
Thu Mar 28 13:11:12 2019	1553789472	0	4001	4001	2001
Thu Mar 28 13:14:34 2019	1553789674	0	4001	4001	2001
Thu Mar 28 13:11:40 2019	1553789500	0	4001	4001	2002
Thu Mar 28 13:12:34 2019	1553789554	0	4001	4001	2000
Thu Mar 28 13:11:56 2019	1553789516	0	4001	4002	2002
Thu Mar 28 13:10:12 2019	1553789412	0	4001	4002	2000
Thu Mar 28 13:14:16 2019	1553789656	0	4001	4002	2001
Thu Mar 28 13:14:42 2019	1553789682	0	4001	4002	2000
Thu Mar 28 13:10:10 2019	1553789410	0	4001	4002	2002
Thu Mar 28 13:12:16 2019	1553789536	0	4002	4002	2001
Thu Mar 28 13:10:08 2019	1553789408	1	4000	4002	2000
Thu Mar 28 13:10:14 2019	1553789414	0	4002	4002	2002
Thu Mar 28 13:12:32 2019	1553789552	1	4001	4002	2000
Thu Mar 28 13:13:56 2019	1553789636	0	4002	4002	2001
Thu Mar 28 13:13:32 2019	1553789612	0	4002	4002	2001
Thu Mar 28 13:14:50 2019	1553789690	0	4002	4002	2001
Thu Mar 28 13:11:58 2019	1553789518	0	4002	4002	2000
Thu Mar 28 13:11:40 2019	1553789500	0	4002	4002	2001
Thu Mar 28 13:12:26 2019	1553789546	0	4002	4002	2001
Thu Mar 28 13:12:56 2019	1553789576	0	4002	4002	2001
Thu Mar 28 13:10:52 2019	1553789452	0	4002	4002	1999
Thu Mar 28 13:14:38 2019	1553789678	0	4002	4002	2001
Thu Mar 28 13:14:44 2019	1553789684	0	4002	4002	2001
Thu Mar 28 13:13:08 2019	1553789588	0	4001	4002	2003
Thu Mar 28 13:10:18 2019	1553789418	0	4001	4002	2001
Thu Mar 28 13:12:22 2019	1553789542	0	4002	4002	2001
Thu Mar 28 13:12:52 2019	1553789572	0	4002	4002	2002
Thu Mar 28 13:13:44 2019	1553789624	0	4002	4002	2000
Thu Mar 28 13:12:22 2019	1553789542	1	4001	4002	1999
Thu Mar 28 13:10:48 2019	1553789448	0	4002	4002	2002
Thu Mar 28 13:13:18 2019	1553789598	0	4002	4002	2001
Thu Mar 28 13:11:46 2019	1553789506	0	4002	4002	2000
Thu Mar 28 13:12:00 2019	1553789520	0	4002	4002	2002
Thu Mar 28 13:10:58 2019	1553789458	0	4002	4002	2001
Thu Mar 28 13:13:22 2019	1553789602	0	4002	4002	2002
Thu Mar 28 13:14:10 2019	1553789650	1	4001	4002	2000
Thu Mar 28 13:13:16 2019	1553789596	0	4002	4002	2002
Thu Mar 28 13:11:20 2019	1553789480	1	4001	4002	2001
Thu Mar 28 13:12:24 2019	1553789544	0	4002	4002	2001
Thu Mar 28 13:12:02 2019	1553789522	0	4002	4002	2000
Thu Mar 28 13:14:08 2019	1553789648	0	4002	4002	2002
Thu Mar 28 13:12:28 2019	1553789548	0	4002	4002	2000
Thu Mar 28 13:12:08 2019	1553789528	1	4001	4002	2002
Thu Mar 28 13:10:50 2019	1553789450	0	4002	4002	2003
Thu Mar 28 13:13:02 2019	1553789582	0	4002	4002	2002
Thu Mar 28 13:13:28 2019	1553789608	0	4002	4002	2001
Thu Mar 28 13:14:16 2019	1553789656	1	4001	4002	1999
Thu Mar 28 13:12:50 2019	1553789570	0	4002	4002	2004
Thu Mar 28 13:10:54 2019	1553789454	0	4002	4002	2001
Thu Mar 28 13:10:16 2019	1553789416	1	4001	4002	2001
Thu Mar 28 13:13:28 2019	1553789608	0	4002	4002	2001
Thu Mar 28 13:14:02 2019	1553789642	1	4002	4002	2001
Thu Mar 28 13:10:12 2019	1553789412	0	4002	4002	2001
Thu Mar 28 13:11:04 2019	1553789464	0	4002	4002	1999
Thu Mar 28 13:11:32 2019	1553789492	0	4002	4002	2001
Thu Mar 28 13:12:56 2019	1553789576	1	4002	4002	2001
Thu Mar 28 13:13:58 2019	1553789638	0	4002	4002	2001
Thu Mar 28 13:14:46 2019	1553789686	0	4002	4002	2001
Thu Mar 28 13:11:36 2019	1553789496	0	4002	4002	2001
Thu Mar 28 13:12:28 2019	1553789548	0	4002	4002	2002
Thu Mar 28 13:14:04 2019	1553789644	0	4002	4002	2000
Thu Mar 28 13:10:34 2019	1553789434	0	4002	4002	2001
Thu Mar 28 13:14:40 2019	1553789680	0	4002	4002	2001
Thu Mar 28 13:14:48 2019	1553789688	0	4002	4002	2001
Thu Mar 28 13:12:12 2019	1553789532	0	4002	4002	2003
Thu Mar 28 13:13:44 2019	1553789624	0	4002	4002	2001
Thu Mar 28 13:11:16 2019	1553789476	0	4002	4002	2002
Thu Mar 28 13:10:32 2019	1553789432	0	4002	4002	2002
Thu Mar 28 13:14:04 2019	1553789644	0	4002	4003	2000
Thu Mar 28 13:11:08 2019	1553789468	0	4002	4003	2000
Thu Mar 28 13:13:04 2019	1553789584	0	4002	4003	2000
Thu Mar 28 13:10:46 2019	1553789446	0	4002	4003	2001
Thu Mar 28 13:11:14 2019	1553789474	0	4002	4003	2000
Thu Mar 28 13:13:42 2019	1553789622	0	4002	4003	2002
Thu Mar 28 13:14:40 2019	1553789680	0	4003	4003	2002
Thu Mar 28 13:11:28 2019	1553789488	0	4003	4003	2002
Thu Mar 28 13:13:38 2019	1553789618	1	4002	4003	2001
Thu Mar 28 13:13:14 2019	1553789594	1	4001	4003	2000
Thu Mar 28 13:10:08 2019	1553789408	0	4002	4003	2002
Thu Mar 28 13:11:16 2019	1553789476	0	4003	4003	2003
Thu Mar 28 13:13:36 2019	1553789616	0	4003	4003	2002
Thu Mar 28 13:13:40 2019	1553789620	0	4003	4003	2001
Thu Mar 28 13:13:42 2019	1553789622	0	4003	4003	2002
Thu Mar 28 13:11:46 2019	1553789506	0	4003	4003	2001
Thu Mar 28 13:12:20 2019	1553789540	0	4003	4003	2002
