starttime	seconds	ctime	dtime	ttime	wait
Wed Mar 27 12:15:27 2019	1553699727	0	2001	2001	0
Wed Mar 27 12:17:01 2019	1553699821	0	2001	2001	1
Wed Mar 27 12:18:04 2019	1553699884	0	2001	2001	1
Wed Mar 27 12:14:55 2019	1553699695	0	2001	2001	1
Wed Mar 27 12:23:48 2019	1553700228	0	2001	2001	1
Wed Mar 27 12:16:49 2019	1553699809	0	2001	2001	1
Wed Mar 27 12:19:12 2019	1553699952	0	2001	2001	1
Wed Mar 27 12:21:56 2019	1553700116	0	2001	2001	1
Wed Mar 27 12:21:00 2019	1553700060	0	2001	2001	1
Wed Mar 27 12:23:32 2019	1553700212	0	2001	2002	1
Wed Mar 27 12:15:19 2019	1553699719	0	2001	2002	1
Wed Mar 27 12:16:51 2019	1553699811	0	2001	2002	1
Wed Mar 27 12:16:47 2019	1553699807	0	2001	2002	1
Wed Mar 27 12:17:17 2019	1553699837	0	2001	2002	1
Wed Mar 27 12:16:05 2019	1553699765	0	2002	2002	1
Wed Mar 27 12:23:26 2019	1553700206	0	2002	2002	1
Wed Mar 27 12:17:19 2019	1553699839	0	2002	2002	1
Wed Mar 27 12:14:03 2019	1553699643	0	2002	2002	1
Wed Mar 27 12:16:07 2019	1553699767	0	2002	2002	1
Wed Mar 27 12:23:28 2019	1553700208	0	2002	2002	1
Wed Mar 27 12:14:13 2019	1553699653	0	2002	2002	1
Wed Mar 27 12:16:29 2019	1553699789	0	2002	2002	1
Wed Mar 27 12:14:27 2019	1553699667	0	2002	2002	2
Wed Mar 27 12:15:59 2019	1553699759	0	2002	2002	1
Wed Mar 27 12:23:34 2019	1553700214	0	2002	2002	1
Wed Mar 27 12:20:42 2019	1553700042	0	2002	2002	2
Wed Mar 27 12:16:03 2019	1553699763	0	2002	2002	1
Wed Mar 27 12:19:04 2019	1553699944	0	2002	2002	1
Wed Mar 27 12:15:57 2019	1553699757	1	2001	2002	1
Wed Mar 27 12:15:21 2019	1553699721	0	2002	2002	1
Wed Mar 27 12:16:59 2019	1553699819	0	2002	2002	1
Wed Mar 27 12:17:33 2019	1553699853	0	2002	2002	1
Wed Mar 27 12:17:15 2019	1553699835	0	2002	2002	1
Wed Mar 27 12:14:29 2019	1553699669	0	2002	2002	1
Wed Mar 27 12:14:05 2019	1553699645	0	2002	2002	1
Wed Mar 27 12:17:05 2019	1553699825	0	2002	2002	1
Wed Mar 27 12:23:24 2019	1553700204	0	2002	2002	1
Wed Mar 27 12:22:40 2019	1553700160	0	2002	2002	1
Wed Mar 27 12:21:12 2019	1553700072	0	2002	2002	2
Wed Mar 27 12:16:45 2019	1553699805	0	2002	2002	1
Wed Mar 27 12:17:03 2019	1553699823	0	2002	2002	2
Wed Mar 27 12:20:02 2019	1553700002	0	2002	2002	1
Wed Mar 27 12:16:21 2019	1553699781	0	2002	2002	2
Wed Mar 27 12:21:20 2019	1553700080	0	2002	2002	1
Wed Mar 27 12:16:23 2019	1553699783	0	2002	2002	1
Wed Mar 27 12:19:06 2019	1553699946	0	2002	2002	1
Wed Mar 27 12:22:44 2019	1553700164	0	2002	2002	2
Wed Mar 27 12:21:18 2019	1553700078	0	2002	2002	2
Wed Mar 27 12:21:14 2019	1553700074	0	2002	2002	1
Wed Mar 27 12:20:28 2019	1553700028	0	2002	2002	1
Wed Mar 27 12:20:00 2019	1553700000	0	2002	2002	2
Wed Mar 27 12:20:58 2019	1553700058	0	2002	2002	1
Wed Mar 27 12:19:10 2019	1553699950	0	2002	2002	1
Wed Mar 27 12:14:15 2019	1553699655	0	2002	2002	1
Wed Mar 27 12:23:36 2019	1553700216	0	2002	2002	1
Wed Mar 27 12:16:01 2019	1553699761	0	2002	2002	2
Wed Mar 27 12:23:22 2019	1553700202	0	2002	2002	2
Wed Mar 27 12:20:04 2019	1553700004	0	2002	2002	1
Wed Mar 27 12:18:00 2019	1553699880	0	2002	2002	1
Wed Mar 27 12:15:25 2019	1553699725	0	2002	2002	2
Wed Mar 27 12:17:23 2019	1553699843	0	2002	2002	2
Wed Mar 27 12:20:34 2019	1553700034	0	2002	2002	1
Wed Mar 27 12:23:18 2019	1553700198	0	2002	2002	2
Wed Mar 27 12:19:02 2019	1553699942	0	2002	2002	2
Wed Mar 27 12:16:25 2019	1553699785	0	2002	2002	2
Wed Mar 27 12:22:22 2019	1553700142	0	2002	2002	2
Wed Mar 27 12:15:07 2019	1553699707	0	2002	2002	2
Wed Mar 27 12:23:30 2019	1553700210	0	2002	2002	2
Wed Mar 27 12:16:13 2019	1553699773	0	2002	2002	1
Wed Mar 27 12:18:50 2019	1553699930	0	2002	2002	2
Wed Mar 27 12:19:08 2019	1553699948	0	2002	2002	1
Wed Mar 27 12:20:56 2019	1553700056	0	2002	2002	1
Wed Mar 27 12:19:00 2019	1553699940	0	2002	2002	2
Wed Mar 27 12:19:14 2019	1553699954	0	2002	2002	2
Wed Mar 27 12:22:48 2019	1553700168	0	2002	2002	2
Wed Mar 27 12:23:46 2019	1553700226	0	2002	2002	1
Wed Mar 27 12:22:38 2019	1553700158	0	2002	2002	2
Wed Mar 27 12:13:55 2019	1553699635	0	2002	2002	2
Wed Mar 27 12:22:56 2019	1553700176	0	2002	2002	1
Wed Mar 27 12:23:20 2019	1553700200	0	2002	2002	2
Wed Mar 27 12:16:27 2019	1553699787	0	2002	2002	2
Wed Mar 27 12:16:11 2019	1553699771	0	2002	2002	2
Wed Mar 27 12:18:10 2019	1553699890	0	2002	2002	2
Wed Mar 27 12:17:58 2019	1553699878	0	2002	2002	2
Wed Mar 27 12:21:22 2019	1553700082	0	2002	2002	1
Wed Mar 27 12:13:57 2019	1553699637	0	2002	2002	2
Wed Mar 27 12:22:20 2019	1553700140	0	2002	2002	1
Wed Mar 27 12:17:11 2019	1553699831	0	2002	2002	2
Wed Mar 27 12:13:51 2019	1553699631	0	2002	2002	1
Wed Mar 27 12:14:39 2019	1553699679	0	2002	2002	2
Wed Mar 27 12:16:57 2019	1553699817	0	2002	2002	2
Wed Mar 27 12:17:52 2019	1553699872	0	2002	2002	2
Wed Mar 27 12:17:50 2019	1553699870	0	2002	2002	2
Wed Mar 27 12:21:02 2019	1553700062	0	2002	2002	2
Wed Mar 27 12:18:52 2019	1553699932	0	2002	2002	1
Wed Mar 27 12:20:30 2019	1553700030	0	2002	2002	2
Wed Mar 27 12:14:07 2019	1553699647	0	2002	2002	1
Wed Mar 27 12:21:16 2019	1553700076	0	2002	2002	1
Wed Mar 27 12:14:45 2019	1553699685	0	2002	2002	2
Wed Mar 27 12:14:57 2019	1553699697	0	2002	2002	2
Wed Mar 27 12:14:31 2019	1553699671	0	2002	2002	1
Wed Mar 27 12:16:41 2019	1553699801	0	2002	2002	2
Wed Mar 27 12:23:16 2019	1553700196	0	2002	2002	2
Wed Mar 27 12:19:48 2019	1553699988	0	2002	2002	2
Wed Mar 27 12:19:54 2019	1553699994	0	2002	2002	2
Wed Mar 27 12:13:53 2019	1553699633	1	2001	2002	1
Wed Mar 27 12:21:28 2019	1553700088	0	2002	2002	1
Wed Mar 27 12:16:19 2019	1553699779	0	2002	2002	2
Wed Mar 27 12:14:25 2019	1553699665	0	2002	2002	2
Wed Mar 27 12:17:31 2019	1553699851	0	2002	2002	2
Wed Mar 27 12:22:46 2019	1553700166	0	2002	2002	2
Wed Mar 27 12:16:31 2019	1553699791	0	2002	2002	2
Wed Mar 27 12:17:40 2019	1553699860	0	2002	2002	2
Wed Mar 27 12:14:01 2019	1553699641	0	2002	2002	2
Wed Mar 27 12:17:07 2019	1553699827	0	2002	2002	1
Wed Mar 27 12:19:24 2019	1553699964	0	2002	2002	2
Wed Mar 27 12:19:50 2019	1553699990	0	2002	2002	1
Wed Mar 27 12:20:54 2019	1553700054	0	2002	2002	2
Wed Mar 27 12:14:17 2019	1553699657	0	2002	2002	2
Wed Mar 27 12:16:33 2019	1553699793	0	2002	2002	2
Wed Mar 27 12:16:43 2019	1553699803	0	2002	2002	2
Wed Mar 27 12:18:48 2019	1553699928	0	2002	2002	2
Wed Mar 27 12:21:26 2019	1553700086	0	2002	2002	1
Wed Mar 27 12:17:27 2019	1553699847	0	2002	2002	2
Wed Mar 27 12:17:13 2019	1553699833	0	2002	2002	2
Wed Mar 27 12:15:15 2019	1553699715	0	2002	2002	2
Wed Mar 27 12:19:52 2019	1553699992	0	2002	2002	1
Wed Mar 27 12:22:18 2019	1553700138	0	2002	2002	2
Wed Mar 27 12:18:58 2019	1553699938	0	2002	2002	2
Wed Mar 27 12:19:56 2019	1553699996	0	2002	2002	1
Wed Mar 27 12:17:48 2019	1553699868	0	2002	2002	2
Wed Mar 27 12:22:42 2019	1553700162	0	2002	2002	2
Wed Mar 27 12:14:59 2019	1553699699	0	2002	2002	2
Wed Mar 27 12:20:26 2019	1553700026	0	2002	2002	2
Wed Mar 27 12:21:10 2019	1553700070	0	2002	2002	2
Wed Mar 27 12:23:06 2019	1553700186	0	2002	2002	2
Wed Mar 27 12:16:55 2019	1553699815	0	2002	2002	2
Wed Mar 27 12:20:36 2019	1553700036	0	2002	2002	2
Wed Mar 27 12:18:08 2019	1553699888	0	2002	2002	2
Wed Mar 27 12:17:37 2019	1553699857	0	2002	2002	2
Wed Mar 27 12:14:47 2019	1553699687	0	2002	2002	2
Wed Mar 27 12:20:32 2019	1553700032	0	2002	2002	2
Wed Mar 27 12:21:24 2019	1553700084	0	2002	2003	2
Wed Mar 27 12:22:08 2019	1553700128	1	2002	2003	1
Wed Mar 27 12:20:06 2019	1553700006	0	2002	2003	2
Wed Mar 27 12:15:17 2019	1553699717	0	2002	2003	2
Wed Mar 27 12:23:12 2019	1553700192	0	2002	2003	2
Wed Mar 27 12:17:21 2019	1553699841	0	2002	2003	1
