starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 28 12:42:47 2019	1553787767	0	2001	2001	1
Thu Mar 28 12:42:13 2019	1553787733	0	2001	2001	1
Thu Mar 28 12:42:37 2019	1553787757	0	2001	2001	1
Thu Mar 28 12:42:11 2019	1553787731	0	2001	2001	1
Thu Mar 28 12:42:53 2019	1553787773	0	2001	2001	1
Thu Mar 28 12:42:35 2019	1553787755	0	2001	2001	1
Thu Mar 28 12:41:39 2019	1553787699	0	2001	2001	1
Thu Mar 28 12:42:05 2019	1553787725	0	2001	2001	1
Thu Mar 28 12:42:53 2019	1553787773	0	2001	2001	1
Thu Mar 28 12:42:15 2019	1553787735	0	2001	2001	1
Thu Mar 28 12:42:47 2019	1553787767	0	2001	2001	1
Thu Mar 28 12:42:15 2019	1553787735	0	2001	2002	1
Thu Mar 28 12:42:05 2019	1553787725	0	2001	2002	1
Thu Mar 28 12:41:29 2019	1553787689	0	2001	2002	1
Thu Mar 28 12:42:47 2019	1553787767	0	2001	2002	1
Thu Mar 28 12:42:11 2019	1553787731	0	2001	2002	1
Thu Mar 28 12:42:37 2019	1553787757	0	2001	2002	1
Thu Mar 28 12:42:05 2019	1553787725	0	2001	2002	1
Thu Mar 28 12:41:28 2019	1553787688	0	2001	2002	1
Thu Mar 28 12:42:03 2019	1553787723	0	2001	2002	1
Thu Mar 28 12:41:43 2019	1553787703	0	2001	2002	1
Thu Mar 28 12:42:47 2019	1553787767	0	2001	2002	1
Thu Mar 28 12:42:37 2019	1553787757	0	2002	2002	1
Thu Mar 28 12:41:28 2019	1553787688	0	2002	2002	1
Thu Mar 28 12:42:11 2019	1553787731	0	2001	2002	0
Thu Mar 28 12:41:28 2019	1553787688	0	2002	2002	1
Thu Mar 28 12:42:15 2019	1553787735	0	2002	2002	1
Thu Mar 28 12:42:21 2019	1553787741	0	2002	2002	1
Thu Mar 28 12:42:09 2019	1553787729	0	2001	2002	2
Thu Mar 28 12:42:37 2019	1553787757	0	2002	2002	1
Thu Mar 28 12:42:35 2019	1553787755	0	2002	2002	1
Thu Mar 28 12:42:15 2019	1553787735	0	2002	2002	1
Thu Mar 28 12:42:05 2019	1553787725	0	2002	2002	1
Thu Mar 28 12:41:37 2019	1553787697	0	2002	2002	1
Thu Mar 28 12:42:45 2019	1553787765	0	2002	2002	2
Thu Mar 28 12:42:15 2019	1553787735	0	2002	2002	1
Thu Mar 28 12:41:33 2019	1553787693	0	2002	2002	1
Thu Mar 28 12:42:13 2019	1553787733	0	2002	2002	1
Thu Mar 28 12:41:29 2019	1553787689	0	2002	2002	2
Thu Mar 28 12:41:39 2019	1553787699	0	2002	2002	1
Thu Mar 28 12:42:53 2019	1553787773	0	2002	2002	1
Thu Mar 28 12:42:17 2019	1553787737	0	2001	2002	1
Thu Mar 28 12:42:27 2019	1553787747	0	2002	2002	1
Thu Mar 28 12:41:35 2019	1553787695	0	2002	2002	1
Thu Mar 28 12:42:21 2019	1553787741	0	2002	2002	1
Thu Mar 28 12:42:47 2019	1553787767	0	2002	2002	1
Thu Mar 28 12:41:27 2019	1553787687	0	2002	2002	2
Thu Mar 28 12:41:20 2019	1553787680	0	2001	2002	3
Thu Mar 28 12:42:07 2019	1553787727	0	2002	2002	2
Thu Mar 28 12:42:17 2019	1553787737	0	2002	2002	2
Thu Mar 28 12:41:31 2019	1553787691	0	2002	2002	1
Thu Mar 28 12:42:19 2019	1553787739	0	2002	2002	1
Thu Mar 28 12:42:03 2019	1553787723	0	2001	2002	2
Thu Mar 28 12:41:35 2019	1553787695	0	2002	2002	2
Thu Mar 28 12:42:51 2019	1553787771	0	2002	2002	1
Thu Mar 28 12:42:27 2019	1553787747	0	2002	2002	1
Thu Mar 28 12:42:45 2019	1553787765	0	2002	2002	2
Thu Mar 28 12:42:25 2019	1553787745	0	2002	2002	1
Thu Mar 28 12:42:39 2019	1553787759	0	2002	2002	1
Thu Mar 28 12:42:49 2019	1553787769	0	2002	2002	2
Thu Mar 28 12:42:13 2019	1553787733	0	2002	2002	1
Thu Mar 28 12:41:45 2019	1553787705	0	2002	2002	1
Thu Mar 28 12:42:17 2019	1553787737	0	2002	2002	1
Thu Mar 28 12:41:41 2019	1553787701	0	2002	2002	1
Thu Mar 28 12:42:17 2019	1553787737	0	2002	2002	1
Thu Mar 28 12:41:41 2019	1553787701	0	2002	2002	2
Thu Mar 28 12:41:37 2019	1553787697	0	2002	2002	1
Thu Mar 28 12:41:39 2019	1553787699	0	2002	2002	1
Thu Mar 28 12:41:33 2019	1553787693	0	2002	2002	1
Thu Mar 28 12:42:03 2019	1553787723	1	2001	2002	0
Thu Mar 28 12:42:05 2019	1553787725	0	2002	2002	2
Thu Mar 28 12:41:26 2019	1553787686	0	2002	2002	1
Thu Mar 28 12:42:13 2019	1553787733	0	2002	2002	1
Thu Mar 28 12:42:19 2019	1553787739	0	2002	2002	1
Thu Mar 28 12:41:39 2019	1553787699	0	2002	2002	1
Thu Mar 28 12:42:23 2019	1553787743	0	2002	2002	1
Thu Mar 28 12:42:39 2019	1553787759	0	2002	2002	1
Thu Mar 28 12:41:55 2019	1553787715	0	2002	2002	1
Thu Mar 28 12:42:21 2019	1553787741	0	2002	2002	1
Thu Mar 28 12:42:53 2019	1553787773	0	2002	2002	1
Thu Mar 28 12:42:15 2019	1553787735	1	2001	2002	2
Thu Mar 28 12:42:51 2019	1553787771	0	2002	2002	2
Thu Mar 28 12:42:49 2019	1553787769	0	2002	2002	1
Thu Mar 28 12:41:31 2019	1553787691	0	2002	2002	1
Thu Mar 28 12:42:45 2019	1553787765	0	2002	2002	2
Thu Mar 28 12:41:41 2019	1553787701	0	2002	2002	1
Thu Mar 28 12:42:19 2019	1553787739	0	2002	2002	2
Thu Mar 28 12:41:30 2019	1553787690	0	2002	2002	1
Thu Mar 28 12:41:39 2019	1553787699	1	2001	2002	1
Thu Mar 28 12:42:09 2019	1553787729	0	2002	2002	2
Thu Mar 28 12:41:29 2019	1553787689	0	2002	2002	2
Thu Mar 28 12:42:49 2019	1553787769	0	2002	2002	2
Thu Mar 28 12:42:11 2019	1553787731	0	2002	2002	2
Thu Mar 28 12:42:33 2019	1553787753	0	2002	2002	2
Thu Mar 28 12:42:33 2019	1553787753	0	2002	2002	1
Thu Mar 28 12:42:13 2019	1553787733	0	2002	2002	1
Thu Mar 28 12:42:27 2019	1553787747	0	2002	2002	1
Thu Mar 28 12:42:51 2019	1553787771	0	2002	2002	2
Thu Mar 28 12:42:33 2019	1553787753	0	2002	2002	2
Thu Mar 28 12:42:05 2019	1553787725	0	2002	2002	1
Thu Mar 28 12:42:35 2019	1553787755	0	2002	2002	2
Thu Mar 28 12:42:53 2019	1553787773	0	2002	2002	1
Thu Mar 28 12:41:59 2019	1553787719	0	2002	2002	1
Thu Mar 28 12:42:37 2019	1553787757	0	2002	2002	1
Thu Mar 28 12:41:47 2019	1553787707	0	2002	2002	1
Thu Mar 28 12:42:09 2019	1553787729	0	2002	2002	1
Thu Mar 28 12:42:19 2019	1553787739	0	2002	2002	3
Thu Mar 28 12:41:55 2019	1553787715	0	2002	2002	1
Thu Mar 28 12:42:07 2019	1553787727	0	2002	2002	1
