starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 28 12:55:05 2019	1553788505	0	2021	2021	20
Thu Mar 28 12:55:05 2019	1553788505	0	2579	2580	579
Thu Mar 28 12:55:05 2019	1553788505	0	4023	4024	2022
Thu Mar 28 12:55:05 2019	1553788505	0	4582	4582	2580
Thu Mar 28 12:56:35 2019	1553788595	0	4998	4998	4998
Thu Mar 28 12:56:45 2019	1553788605	0	4998	4998	4998
Thu Mar 28 12:55:57 2019	1553788557	0	4998	4998	4998
Thu Mar 28 12:55:45 2019	1553788545	0	4998	4998	4998
Thu Mar 28 12:55:15 2019	1553788515	0	4999	4999	4999
Thu Mar 28 12:56:57 2019	1553788617	0	4999	4999	4999
Thu Mar 28 12:55:15 2019	1553788515	0	4999	4999	4999
Thu Mar 28 12:55:12 2019	1553788512	0	4999	4999	4999
Thu Mar 28 12:56:25 2019	1553788585	0	4999	4999	4999
Thu Mar 28 12:56:00 2019	1553788560	0	4999	4999	4999
Thu Mar 28 12:55:30 2019	1553788530	0	4999	4999	4999
Thu Mar 28 12:56:45 2019	1553788605	0	4999	5000	4999
Thu Mar 28 12:56:50 2019	1553788610	0	4999	5000	4999
Thu Mar 28 12:56:05 2019	1553788565	0	4999	5000	4999
Thu Mar 28 12:55:41 2019	1553788541	0	4999	5000	4999
Thu Mar 28 12:55:26 2019	1553788526	0	4999	5000	4999
Thu Mar 28 12:56:22 2019	1553788582	0	4999	5000	4999
Thu Mar 28 12:55:42 2019	1553788542	0	4999	5000	4999
Thu Mar 28 12:56:25 2019	1553788585	1	4999	5000	4999
Thu Mar 28 12:58:24 2019	1553788704	0	5000	5000	4999
Thu Mar 28 12:56:55 2019	1553788615	0	5000	5000	4999
Thu Mar 28 12:55:15 2019	1553788515	0	5000	5000	5000
Thu Mar 28 12:56:27 2019	1553788587	0	5000	5000	4999
Thu Mar 28 12:55:20 2019	1553788520	0	4999	5000	4999
Thu Mar 28 12:56:05 2019	1553788565	0	5000	5000	4999
Thu Mar 28 12:57:09 2019	1553788629	0	5000	5000	5000
Thu Mar 28 12:55:30 2019	1553788530	0	5000	5000	5000
Thu Mar 28 12:55:12 2019	1553788512	0	5000	5000	5000
Thu Mar 28 12:58:29 2019	1553788709	0	5000	5000	5000
Thu Mar 28 12:57:25 2019	1553788645	0	5000	5000	5000
Thu Mar 28 12:55:33 2019	1553788533	0	5000	5000	5000
Thu Mar 28 12:57:20 2019	1553788640	0	5000	5000	5000
Thu Mar 28 12:56:05 2019	1553788565	0	5000	5000	5000
