starttime	seconds	ctime	dtime	ttime	wait
Wed Mar 27 12:48:18 2019	1553701698	0	2001	2001	1
Wed Mar 27 12:50:05 2019	1553701805	0	2001	2001	1
Wed Mar 27 12:45:52 2019	1553701552	0	2001	2001	0
Wed Mar 27 12:43:44 2019	1553701424	0	2001	2001	1
Wed Mar 27 12:47:26 2019	1553701646	0	2001	2001	0
Wed Mar 27 12:41:26 2019	1553701286	0	2001	2001	1
Wed Mar 27 12:44:10 2019	1553701450	0	2001	2001	0
Wed Mar 27 12:46:28 2019	1553701588	0	2001	2001	1
Wed Mar 27 12:49:49 2019	1553701789	0	2001	2001	1
Wed Mar 27 12:50:05 2019	1553701805	0	2001	2001	1
Wed Mar 27 12:49:49 2019	1553701789	0	2001	2001	1
Wed Mar 27 12:46:38 2019	1553701598	0	2001	2001	1
Wed Mar 27 12:47:36 2019	1553701656	0	2001	2001	1
Wed Mar 27 12:48:20 2019	1553701700	0	2001	2001	0
Wed Mar 27 12:51:25 2019	1553701885	0	2001	2001	1
Wed Mar 27 12:48:18 2019	1553701698	0	2001	2001	1
Wed Mar 27 12:44:38 2019	1553701478	0	2001	2001	1
Wed Mar 27 12:46:30 2019	1553701590	0	2001	2001	1
Wed Mar 27 12:45:18 2019	1553701518	0	2001	2001	1
Wed Mar 27 12:46:04 2019	1553701564	0	2001	2001	1
Wed Mar 27 12:44:04 2019	1553701444	0	2001	2001	1
Wed Mar 27 12:42:54 2019	1553701374	0	2001	2001	1
Wed Mar 27 12:46:28 2019	1553701588	0	2001	2001	1
Wed Mar 27 12:49:47 2019	1553701787	0	2001	2001	1
Wed Mar 27 12:45:52 2019	1553701552	0	2001	2001	1
Wed Mar 27 12:44:28 2019	1553701468	0	2001	2001	1
Wed Mar 27 12:42:30 2019	1553701350	0	2001	2001	1
Wed Mar 27 12:50:07 2019	1553701807	0	2001	2001	1
Wed Mar 27 12:49:02 2019	1553701742	0	2001	2001	1
Wed Mar 27 12:47:58 2019	1553701678	0	2001	2001	1
Wed Mar 27 12:45:26 2019	1553701526	0	2001	2001	1
Wed Mar 27 12:50:07 2019	1553701807	0	2001	2001	1
Wed Mar 27 12:49:47 2019	1553701787	0	2001	2001	1
Wed Mar 27 12:42:30 2019	1553701350	0	2001	2001	1
Wed Mar 27 12:47:56 2019	1553701676	0	2001	2001	1
Wed Mar 27 12:43:46 2019	1553701426	0	2001	2001	1
Wed Mar 27 12:45:36 2019	1553701536	0	2001	2001	1
Wed Mar 27 12:42:54 2019	1553701374	0	2001	2001	1
Wed Mar 27 12:45:30 2019	1553701530	0	2001	2001	1
Wed Mar 27 12:46:18 2019	1553701578	0	2001	2001	1
Wed Mar 27 12:44:00 2019	1553701440	0	2001	2001	1
Wed Mar 27 12:49:06 2019	1553701746	0	2001	2001	0
Wed Mar 27 12:48:20 2019	1553701700	0	2001	2001	1
Wed Mar 27 12:49:10 2019	1553701750	0	2001	2001	1
Wed Mar 27 12:49:10 2019	1553701750	0	2001	2001	1
Wed Mar 27 12:49:06 2019	1553701746	0	2001	2001	1
Wed Mar 27 12:50:09 2019	1553701809	0	2001	2001	1
Wed Mar 27 12:44:12 2019	1553701452	0	2001	2001	1
Wed Mar 27 12:46:12 2019	1553701572	0	2001	2001	1
Wed Mar 27 12:41:36 2019	1553701296	0	2001	2001	1
Wed Mar 27 12:44:10 2019	1553701450	0	2001	2001	1
Wed Mar 27 12:41:26 2019	1553701286	0	2001	2001	1
Wed Mar 27 12:50:01 2019	1553701801	0	2001	2001	1
Wed Mar 27 12:44:22 2019	1553701462	0	2001	2001	1
Wed Mar 27 12:43:06 2019	1553701386	0	2001	2001	1
Wed Mar 27 12:42:52 2019	1553701372	0	2001	2001	1
Wed Mar 27 12:44:32 2019	1553701472	0	2001	2001	1
Wed Mar 27 12:44:18 2019	1553701458	0	2001	2001	1
Wed Mar 27 12:44:06 2019	1553701446	0	2001	2001	1
Wed Mar 27 12:47:42 2019	1553701662	0	2001	2001	1
Wed Mar 27 12:50:01 2019	1553701801	0	2001	2001	1
Wed Mar 27 12:44:08 2019	1553701448	0	2001	2001	1
Wed Mar 27 12:47:38 2019	1553701658	0	2001	2001	1
Wed Mar 27 12:43:06 2019	1553701386	0	2001	2001	1
Wed Mar 27 12:42:34 2019	1553701354	0	2001	2001	1
Wed Mar 27 12:43:44 2019	1553701424	0	2001	2001	1
Wed Mar 27 12:47:54 2019	1553701674	0	2001	2001	1
Wed Mar 27 12:45:40 2019	1553701540	0	2001	2001	1
Wed Mar 27 12:48:14 2019	1553701694	0	2001	2001	1
Wed Mar 27 12:43:46 2019	1553701426	0	2001	2001	1
Wed Mar 27 12:48:38 2019	1553701718	0	2001	2001	1
Wed Mar 27 12:48:56 2019	1553701736	0	2001	2001	1
Wed Mar 27 12:49:29 2019	1553701769	0	2001	2001	1
Wed Mar 27 12:45:20 2019	1553701520	0	2001	2001	1
Wed Mar 27 12:49:12 2019	1553701752	0	2001	2001	1
Wed Mar 27 12:43:14 2019	1553701394	0	2001	2001	1
Wed Mar 27 12:48:14 2019	1553701694	0	2001	2001	1
Wed Mar 27 12:47:18 2019	1553701638	0	2001	2001	1
Wed Mar 27 12:47:06 2019	1553701626	0	2001	2001	1
Wed Mar 27 12:45:18 2019	1553701518	0	2001	2001	1
Wed Mar 27 12:42:32 2019	1553701352	0	2001	2001	1
Wed Mar 27 12:47:36 2019	1553701656	0	2001	2001	1
Wed Mar 27 12:48:04 2019	1553701684	0	2001	2001	1
Wed Mar 27 12:43:48 2019	1553701428	0	2001	2001	1
Wed Mar 27 12:46:38 2019	1553701598	0	2001	2001	1
Wed Mar 27 12:46:18 2019	1553701578	0	2001	2001	1
Wed Mar 27 12:47:42 2019	1553701662	0	2001	2001	1
Wed Mar 27 12:45:38 2019	1553701538	0	2001	2001	1
Wed Mar 27 12:49:59 2019	1553701799	0	2001	2001	1
Wed Mar 27 12:46:48 2019	1553701608	0	2001	2001	1
Wed Mar 27 12:49:37 2019	1553701777	0	2001	2001	1
Wed Mar 27 12:46:04 2019	1553701564	0	2001	2001	1
Wed Mar 27 12:45:46 2019	1553701546	0	2001	2001	1
Wed Mar 27 12:45:14 2019	1553701514	0	2001	2001	1
Wed Mar 27 12:47:26 2019	1553701646	0	2001	2001	1
Wed Mar 27 12:44:32 2019	1553701472	0	2001	2001	1
Wed Mar 27 12:49:27 2019	1553701767	0	2001	2001	1
Wed Mar 27 12:49:45 2019	1553701785	0	2001	2001	1
Wed Mar 27 12:46:48 2019	1553701608	0	2001	2001	1
Wed Mar 27 12:43:48 2019	1553701428	0	2001	2001	1
Wed Mar 27 12:44:18 2019	1553701458	0	2001	2001	1
Wed Mar 27 12:46:06 2019	1553701566	0	2001	2001	1
Wed Mar 27 12:51:25 2019	1553701885	0	2001	2001	1
Wed Mar 27 12:49:04 2019	1553701744	0	2001	2001	1
Wed Mar 27 12:42:32 2019	1553701352	0	2001	2001	1
Wed Mar 27 12:50:11 2019	1553701811	0	2001	2001	0
Wed Mar 27 12:45:40 2019	1553701540	0	2001	2001	1
Wed Mar 27 12:49:29 2019	1553701769	0	2001	2001	1
Wed Mar 27 12:49:45 2019	1553701785	0	2001	2001	1
Wed Mar 27 12:49:51 2019	1553701791	0	2001	2001	1
Wed Mar 27 12:44:38 2019	1553701478	0	2001	2001	1
Wed Mar 27 12:41:36 2019	1553701296	0	2001	2001	1
Wed Mar 27 12:43:14 2019	1553701394	0	2001	2001	1
Wed Mar 27 12:45:30 2019	1553701530	0	2001	2001	1
Wed Mar 27 12:42:36 2019	1553701356	0	2001	2001	1
Wed Mar 27 12:41:34 2019	1553701294	0	2001	2001	1
Wed Mar 27 12:43:12 2019	1553701392	0	2001	2001	1
Wed Mar 27 12:48:16 2019	1553701696	0	2001	2001	1
Wed Mar 27 12:45:10 2019	1553701510	0	2001	2001	0
Wed Mar 27 12:41:28 2019	1553701288	0	2001	2001	1
Wed Mar 27 12:43:08 2019	1553701388	0	2001	2001	1
Wed Mar 27 12:48:56 2019	1553701736	0	2001	2001	1
Wed Mar 27 12:50:09 2019	1553701809	0	2001	2001	1
Wed Mar 27 12:51:13 2019	1553701873	0	2001	2001	1
Wed Mar 27 12:46:30 2019	1553701590	0	2001	2001	1
Wed Mar 27 12:46:26 2019	1553701586	0	2001	2001	1
Wed Mar 27 12:48:46 2019	1553701726	0	2001	2001	1
Wed Mar 27 12:45:50 2019	1553701550	0	2001	2001	1
Wed Mar 27 12:49:55 2019	1553701795	0	2001	2001	1
Wed Mar 27 12:44:54 2019	1553701494	0	2001	2001	0
Wed Mar 27 12:48:04 2019	1553701684	0	2001	2001	1
Wed Mar 27 12:43:32 2019	1553701412	0	2001	2001	1
Wed Mar 27 12:49:41 2019	1553701781	0	2001	2001	1
Wed Mar 27 12:43:08 2019	1553701388	0	2001	2001	1
Wed Mar 27 12:46:14 2019	1553701574	0	2001	2001	1
Wed Mar 27 12:45:44 2019	1553701544	0	2001	2001	1
Wed Mar 27 12:49:39 2019	1553701779	0	2001	2001	1
Wed Mar 27 12:45:36 2019	1553701536	0	2001	2001	1
Wed Mar 27 12:46:34 2019	1553701594	0	2001	2001	1
Wed Mar 27 12:49:59 2019	1553701799	0	2001	2001	1
Wed Mar 27 12:48:16 2019	1553701696	0	2001	2001	1
Wed Mar 27 12:44:50 2019	1553701490	0	2001	2001	1
Wed Mar 27 12:44:28 2019	1553701468	0	2001	2001	1
Wed Mar 27 12:51:13 2019	1553701873	0	2001	2001	1
Wed Mar 27 12:43:58 2019	1553701438	0	2001	2001	1
Wed Mar 27 12:47:34 2019	1553701654	0	2001	2001	1
Wed Mar 27 12:45:14 2019	1553701514	0	2001	2001	1
