starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 28 10:47:39 2019	1553780859	1	2002	2003	2
Thu Mar 28 10:47:39 2019	1553780859	0	2004	2004	2
Thu Mar 28 10:47:39 2019	1553780859	0	4005	4005	2004
Thu Mar 28 10:47:39 2019	1553780859	0	4005	4006	2004
Thu Mar 28 10:47:39 2019	1553780859	0	6007	6008	4005
Thu Mar 28 10:47:39 2019	1553780859	0	6010	6010	4007
Thu Mar 28 10:47:39 2019	1553780859	0	8010	8010	6010
Thu Mar 28 10:47:39 2019	1553780859	0	8011	8011	6010
Thu Mar 28 10:48:47 2019	1553780927	0	10003	10003	8002
Thu Mar 28 10:48:31 2019	1553780911	0	10004	10004	8003
Thu Mar 28 10:49:45 2019	1553780985	1	10003	10004	8003
Thu Mar 28 10:50:05 2019	1553781005	0	10005	10005	8003
Thu Mar 28 10:50:01 2019	1553781001	0	10005	10005	8004
Thu Mar 28 10:56:21 2019	1553781381	0	10005	10005	8004
Thu Mar 28 10:49:45 2019	1553780985	1	10004	10005	8003
Thu Mar 28 10:49:49 2019	1553780989	0	10005	10005	8004
Thu Mar 28 10:50:03 2019	1553781003	0	10005	10005	8004
Thu Mar 28 10:50:07 2019	1553781007	0	10005	10005	8004
Thu Mar 28 10:56:19 2019	1553781379	0	10005	10005	8004
Thu Mar 28 10:55:55 2019	1553781355	0	10005	10005	8004
Thu Mar 28 10:56:17 2019	1553781377	0	10005	10005	8005
Thu Mar 28 10:56:05 2019	1553781365	0	10005	10005	8004
Thu Mar 28 10:48:01 2019	1553780881	1	10005	10005	8003
Thu Mar 28 10:48:31 2019	1553780911	0	10005	10005	8004
Thu Mar 28 10:56:23 2019	1553781383	0	10005	10005	8005
Thu Mar 28 10:49:37 2019	1553780977	1	10004	10005	8005
Thu Mar 28 10:47:57 2019	1553780877	0	10005	10005	8006
Thu Mar 28 10:55:45 2019	1553781345	0	10005	10005	8004
Thu Mar 28 10:47:45 2019	1553780865	0	10005	10005	8005
Thu Mar 28 10:53:23 2019	1553781203	1	10004	10006	8003
Thu Mar 28 10:50:15 2019	1553781015	2	10004	10006	8003
Thu Mar 28 10:50:03 2019	1553781003	0	10005	10006	8005
Thu Mar 28 10:55:33 2019	1553781333	0	10005	10006	8005
Thu Mar 28 10:55:53 2019	1553781353	0	10005	10006	8004
Thu Mar 28 10:47:59 2019	1553780879	0	10005	10006	8004
Thu Mar 28 10:48:03 2019	1553780883	1	10005	10006	8004
Thu Mar 28 10:53:15 2019	1553781195	0	10006	10006	8005
Thu Mar 28 10:49:51 2019	1553780991	1	10005	10006	8004
Thu Mar 28 10:51:07 2019	1553781067	1	10004	10006	8004
Thu Mar 28 10:49:53 2019	1553780993	0	10006	10006	8005
Thu Mar 28 10:55:53 2019	1553781353	0	10005	10006	8005
Thu Mar 28 10:50:09 2019	1553781009	0	10006	10006	8007
Thu Mar 28 10:55:33 2019	1553781333	2	10003	10006	8004
Thu Mar 28 10:55:51 2019	1553781351	0	10005	10006	8005
Thu Mar 28 10:56:25 2019	1553781385	0	10006	10006	8004
Thu Mar 28 10:52:37 2019	1553781157	0	10005	10006	8005
Thu Mar 28 10:50:47 2019	1553781047	1	10004	10006	8004
Thu Mar 28 10:48:33 2019	1553780913	0	10006	10006	8005
Thu Mar 28 10:52:53 2019	1553781173	0	10006	10006	8006
Thu Mar 28 10:51:15 2019	1553781075	0	10006	10006	8005
