starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 28 12:37:05 2019	1553787425	0	2001	2001	1
Thu Mar 28 12:36:23 2019	1553787383	0	2001	2001	1
Thu Mar 28 12:36:31 2019	1553787391	0	2001	2001	0
Thu Mar 28 12:35:43 2019	1553787343	0	2001	2001	1
Thu Mar 28 12:36:25 2019	1553787385	0	2001	2002	1
Thu Mar 28 12:37:13 2019	1553787433	0	2001	2002	1
Thu Mar 28 12:36:33 2019	1553787393	0	2001	2002	1
Thu Mar 28 12:36:33 2019	1553787393	0	2001	2002	1
Thu Mar 28 12:36:20 2019	1553787380	0	2001	2002	1
Thu Mar 28 12:36:31 2019	1553787391	0	2001	2002	1
Thu Mar 28 12:36:05 2019	1553787365	0	2001	2002	1
Thu Mar 28 12:36:59 2019	1553787419	0	2002	2002	1
Thu Mar 28 12:35:33 2019	1553787333	0	2001	2002	2
Thu Mar 28 12:37:05 2019	1553787425	0	2002	2002	1
Thu Mar 28 12:36:27 2019	1553787387	0	2002	2002	1
Thu Mar 28 12:37:09 2019	1553787429	0	2002	2002	1
Thu Mar 28 12:36:25 2019	1553787385	0	2002	2002	1
Thu Mar 28 12:37:13 2019	1553787433	0	2002	2002	1
Thu Mar 28 12:36:15 2019	1553787375	0	2001	2002	1
Thu Mar 28 12:36:59 2019	1553787419	0	2002	2002	1
Thu Mar 28 12:36:37 2019	1553787397	0	2002	2002	1
Thu Mar 28 12:36:23 2019	1553787383	0	2001	2002	1
Thu Mar 28 12:36:23 2019	1553787383	0	2001	2002	1
Thu Mar 28 12:36:23 2019	1553787383	0	2002	2002	1
Thu Mar 28 12:36:21 2019	1553787381	0	2002	2002	1
Thu Mar 28 12:36:27 2019	1553787387	0	2002	2002	1
Thu Mar 28 12:36:27 2019	1553787387	0	2002	2002	1
Thu Mar 28 12:36:25 2019	1553787385	0	2002	2002	1
Thu Mar 28 12:36:37 2019	1553787397	0	2002	2002	1
Thu Mar 28 12:36:37 2019	1553787397	0	2002	2002	1
Thu Mar 28 12:36:31 2019	1553787391	0	2001	2002	0
Thu Mar 28 12:35:43 2019	1553787343	0	2002	2002	2
Thu Mar 28 12:36:53 2019	1553787413	0	2002	2002	1
Thu Mar 28 12:35:38 2019	1553787338	0	2002	2002	1
Thu Mar 28 12:36:21 2019	1553787381	0	2002	2002	2
Thu Mar 28 12:36:07 2019	1553787367	0	2002	2002	1
Thu Mar 28 12:36:22 2019	1553787382	0	2002	2002	1
Thu Mar 28 12:35:47 2019	1553787347	0	2002	2002	1
Thu Mar 28 12:36:31 2019	1553787391	0	2002	2002	1
Thu Mar 28 12:36:59 2019	1553787419	0	2002	2002	1
Thu Mar 28 12:35:43 2019	1553787343	0	2002	2002	1
Thu Mar 28 12:36:47 2019	1553787407	0	2002	2002	1
Thu Mar 28 12:36:59 2019	1553787419	0	2002	2002	1
Thu Mar 28 12:37:13 2019	1553787433	0	2002	2002	1
Thu Mar 28 12:36:45 2019	1553787405	0	2002	2002	1
Thu Mar 28 12:36:15 2019	1553787375	0	2001	2002	0
Thu Mar 28 12:36:21 2019	1553787381	0	2001	2002	1
Thu Mar 28 12:36:53 2019	1553787413	0	2002	2002	1
Thu Mar 28 12:36:03 2019	1553787363	0	2002	2002	1
Thu Mar 28 12:36:59 2019	1553787419	0	2002	2002	2
Thu Mar 28 12:35:36 2019	1553787336	0	2002	2002	1
Thu Mar 28 12:37:04 2019	1553787424	0	2002	2002	1
Thu Mar 28 12:37:00 2019	1553787420	0	2002	2002	1
Thu Mar 28 12:36:23 2019	1553787383	1	2001	2002	1
Thu Mar 28 12:36:17 2019	1553787377	0	2002	2002	1
Thu Mar 28 12:36:49 2019	1553787409	0	2002	2002	1
Thu Mar 28 12:36:07 2019	1553787367	0	2002	2002	1
Thu Mar 28 12:36:25 2019	1553787385	0	2002	2002	1
Thu Mar 28 12:36:19 2019	1553787379	0	2002	2002	1
Thu Mar 28 12:35:57 2019	1553787357	0	2002	2002	1
Thu Mar 28 12:35:31 2019	1553787331	0	2002	2002	2
Thu Mar 28 12:37:16 2019	1553787436	0	2002	2002	1
Thu Mar 28 12:35:33 2019	1553787333	0	2002	2002	2
Thu Mar 28 12:36:05 2019	1553787365	0	2002	2002	1
Thu Mar 28 12:36:47 2019	1553787407	0	2002	2002	1
Thu Mar 28 12:36:59 2019	1553787419	0	2002	2002	2
Thu Mar 28 12:36:43 2019	1553787403	0	2002	2002	1
